Round,Event,SwimmerName,Time
1,50 Free,Jordan Crooks,17.85
1,100 Free,Josh Liendo,40.45
1,200 Free,Luke Hobson,90.23
1,500 Free,Rex Maurer,244.45
1,100 Back,Jonny Marshall,43.73
1,200 Back,Hubert KOS,96.10
1,100 Breast,Julian Smith,49.51
1,200 Breast,Matt Fallon,108.85
1,100 Fly,Luca Urlando,43.62
1,200 Fly,Ilya Kharun,98.74
1,200 IM,Owen McDonald,99.89
1,400 IM,Tristan Jankovics,215.51
1,1650 Free,David Johnston,866.00
2,50 Free,Gui SANTOS,18.42
2,100 Free,Jonny Kulow,40.97
2,200 Free,Chris Guiliano,90.31
2,500 Free,Noah Millard,247.68
2,100 Back,Will Modglin,43.91
2,200 Back,Gabriel Jett,97.19
2,100 Breast,Finn Brooks,49.94
2,200 Breast,Carles COLL MARTI,109.62
2,100 Fly,Andrei Minakov,44.27
2,200 Fly,Martin Espernberger,99.34
2,200 IM,Gal COHEN GROUMI,100.34
2,400 IM,Baylor Nelson,217.47
2,1650 Free,Lucas Henveaux,869.74
3,50 Free,Quintin McCarty,18.63
3,100 Free,Jack Alexy,41.19
3,200 Free,Charlie Hawke,90.44
3,500 Free,Tomas Koski,248.25
3,100 Back,Michel Arkhangelskiy,44.49
3,200 Back,Destin Lasco,98.21
3,100 Breast,Nate Germonprez,50.14
3,200 Breast,Jack Kelly,109.80
3,100 Fly,Scotty Buff,44.28
3,200 Fly,Dare Rose,99.47
3,200 IM,Luke Barr,100.62
3,400 IM,Jake Magahey,217.89
3,1650 Free,Levi Sandidge,870.61
4,50 Free,Jere Hribar,18.65
4,100 Free,Remi FABIANI,41.23
4,200 Free,Tomas Navikonis,91.01
4,500 Free,Coby Carrozza,250.70
4,100 Back,Johnny Crush,44.53
4,200 Back,David King,98.36
4,100 Breast,Denis PETRASHOV,50.62
4,200 Breast,Josh Matheny,109.83
4,100 Fly,Tyler Ray,44.28
4,200 Fly,Colin Geer,99.58
4,200 IM,Daniel Diehl,101.39
4,400 IM,Gio Linscheer,218.46
4,1650 Free,Owen Lloyd,871.64
5,50 Free,Connor Foote,18.67
5,100 Free,Kaii Winkler,41.39
5,200 Free,Alexander Painter,91.13
5,500 Free,Jake Mitchell,250.72
5,100 Back,Harrison Lierz,44.76
5,200 Back,Oleksandr ZHELTYAKOV,98.78
5,100 Breast,Brian Benzing,50.73
5,200 Breast,Jassen Yep,109.93
5,100 Fly,Spencer Nicholas,44.41
5,200 Fly,Seb Lunak,100.12
5,200 IM,Danny Schmidt,101.42
5,400 IM,Cooper Lucas,219.02
5,1650 Free,Liam Custer,876.44
6,50 Free,Matthew Klinge,18.78
6,100 Free,Patrick Sammon,41.39
6,200 Free,Henry McFadden,91.30
6,500 Free,Carson Hick,250.89
6,100 Back,Max Wilson,44.82
6,200 Back,Pietro Ubertalli,98.99
6,100 Breast,Yamato Okadome,50.87
6,200 Breast,Aleksas Savickas,110.02
6,100 Fly,Nick Finch,44.57
6,200 Fly,Bjorn Kammann,100.18
6,200 IM,Mitchell Schott,101.44
6,400 IM,Tommy Bried,219.28
6,1650 Free,Zalán Sarkany,877.49
7,50 Free,Tai Torepe-Ormsby,18.81
7,100 Free,Tomas Lukminas,41.56
7,200 Free,Ralph DALEIDEN,91.48
7,500 Free,Mason Mathias,251.03
7,100 Back,Evan Petty,44.97
7,200 Back,Kai Van Westering,99.24
7,100 Breast,Caspar Corbeau,50.97
7,200 Breast,Jake Eccleston,111.03
7,100 Fly,Mario Molla Yanes,44.63
7,200 Fly,Logan Robinson,100.34
7,200 IM,Camden Taylor,101.58
7,400 IM,Mason Laur,219.32
7,1650 Free,Lance Norris,878.69
8,50 Free,Lamar Taylor,18.82
8,100 Free,Brendan Whitfield,41.60
8,200 Free,Patrick Hussey,91.68
8,500 Free,Jovan Lekic,252.26
8,100 Back,Jack Wadsworth,45.01
8,200 Back,Miroslav Knedla,99.26
8,100 Breast,Ron Polonsky,50.99
8,200 Breast,Will Scholtz,111.04
8,100 Fly,Youssef Ramadan,44.68
8,200 Fly,Frank Applebaum,100.39
8,200 IM,Berke Saka,101.70
8,400 IM,Lorne Wigginton,219.76
8,1650 Free,Daniel Matheson,883.46
9,50 Free,Jerry Fox,18.83
9,100 Free,Andres Dupont,41.72
9,200 Free,Kaique Alves,91.78
9,500 Free,Tyler Kopp,252.46
9,100 Back,Kyle Peck,45.02
9,200 Back,Nate Stoffle,99.36
9,100 Breast,Matvei Namakonov,51.16
9,200 Breast,Hank Rivers,111.23
9,100 Fly,Tomer Frankel,44.74
9,200 Fly,Jacob Johnson,100.47
9,200 IM,Chris Morris,101.78
9,400 IM,Eric Brown,219.89
9,1650 Free,Mert Kilavuz,884.90
10,50 Free,Bjorn Seeliger,18.86
10,100 Free,Matt King,41.73
10,200 Free,Murilo STEIN SARTORI,91.87
10,500 Free,Manning Haskal,252.69
10,100 Back,Ruard Van Renen,45.03
10,200 Back,Cornelius Jahn,99.50
10,100 Breast,Kohen Rankin,51.26
10,200 Breast,Ben Delmar,111.29
10,100 Fly,Luke Miller,44.86
10,200 Fly,David Schmitt,100.52
10,200 IM,Louis Dramm,101.84
10,400 IM,Drew Hitchcock,219.98
10,1650 Free,Jackson Huckabay,885.18
11,50 Free,Tommy Palmer,18.87
11,100 Free,Matt Jensen,41.77
11,200 Free,Robin Hanson,91.87
11,500 Free,Eduardo Oliveira Moraes,252.72
11,100 Back,Aaron Sequeira,45.06
11,200 Back,Joshua Zuchowski,99.71
11,100 Breast,Zhier Fan,51.28
11,200 Breast,Toby Barnett,111.73
11,100 Fly,PJ Foy,44.91
11,200 Fly,Haakon Naughton,100.55
11,200 IM,Ben Sampson,101.88
11,400 IM,Kyle Ponsler,220.05
11,1650 Free,Leonardo Alcantara,885.45
12,50 Free,Drew Salls,18.96
12,100 Free,Nikoli Blackman,41.84
12,200 Free,Rafael Miroslaw,91.94
12,500 Free,Bar Soloveychik,252.83
12,100 Back,Stuart Seymour,45.07
12,200 Back,Keaton Jones,99.76
12,100 Breast,Noah Nichols,51.32
12,200 Breast,Alex Sanchez,111.87
12,100 Fly,Filip Senc-Samardzic,44.93
12,200 Fly,Krzysztof Chmielewski,100.72
12,200 IM,Rick Mihm,102.24
12,400 IM,Jack Hoagland,220.40
12,1650 Free,Mason Edmund,885.81
13,50 Free,Daniel Baltes,18.96
13,100 Free,Dylan Smiley,41.85
13,200 Free,Guy Brooks,91.96
13,500 Free,Josh Staples,253.28
13,100 Back,Grant Bochenski,45.12
13,200 Back,Tommy Hagar,99.77
13,100 Breast,Kevin Houseman,51.48
13,200 Breast,Andy Dobrzanski,111.93
13,100 Fly,Boyd Poelke,44.94
13,200 Fly,Ryan Merani,100.82
13,200 IM,Sebastien Sergile,102.40
13,400 IM,Dominik Torok,220.59
13,1650 Free,Connor Fry,886.89
14,50 Free,Ben Scholl,18.97
14,100 Free,PEDRO SANSONE TEIXEIRA DE ANDRADE,41.92
14,200 Free,Nans MAZELLIER,92.00
14,500 Free,Yoav Romano,253.37
14,100 Back,Hudson Williams,45.15
14,200 Back,Jack Aikins,99.84
14,100 Breast,Uros Zivanovic,51.53
14,200 Breast,Chris O'Grady,112.07
14,100 Fly,Felix Jedbratt,44.97
14,200 Fly,Ryan BRANON,100.89
14,200 IM,Tyler Lu,102.49
14,400 IM,Max MATTEAZZI,220.89
14,1650 Free,Nikola Simic,887.23
15,50 Free,Mario McDonald,18.97
15,100 Free,Stepan Goncharov,41.95
15,200 Free,Toni Dragoja,92.19
15,500 Free,Oskar Lindholm,253.47
15,100 Back,Mewen Tomac,45.16
15,200 Back,Filip Kosinski,99.99
15,100 Breast,Ozan Kalafat,51.53
15,200 Breast,Ben Dillard,112.09
15,100 Fly,Rafael Gu,45.02
15,200 Fly,Logan Walker,101.01
15,200 IM,Luke Maurer,102.57
15,400 IM,Gregg Enoch,221.10
15,1650 Free,Charlie Clark,887.44
16,50 Free,Karol Ostrowski,18.99
16,100 Free,Alex Santiago,41.95
16,200 Free,Tiago Behar,92.25
16,500 Free,Alexander Axon,253.77
16,100 Back,Walker Davis,45.24
16,200 Back,Aiden Norman,100.02
16,100 Breast,Mitch Mason,51.55
16,200 Breast,Brayden Taivassalo,112.20
16,100 Fly,Brady Samuels,45.10
16,200 Fly,Landon Gentry,101.10
16,200 IM,Gibson Holmes,102.65
16,400 IM,Humberto Najera,221.25
16,1650 Free,Joey Tepper,888.01
17,50 Free,Luke Nebrich,19.02
17,100 Free,Vili Sivec,41.98
17,200 Free,Luis Dominguez,92.37
17,500 Free,Chase Mueller,254.16
17,100 Back,David Gerchik,45.25
17,200 Back,Ben Irwin,100.04
17,100 Breast,Junhao Chan,51.56
17,200 Breast,Jed Garner,112.30
17,100 Fly,Will Hayon,45.12
17,200 Fly,Jan Zubik,101.14
17,200 IM,Marton Nagy,102.69
17,400 IM,Michael Hochwalt,221.40
17,1650 Free,Jon Jøntvedt,888.20
18,50 Free,Ed Fullum-Huot,19.02
18,100 Free,Reese Branzell,42.08
18,200 Free,Eitan BEN SHITRIT,92.63
18,500 Free,Michael Bonson,254.18
18,100 Back,Mason Herbet,45.26
18,200 Back,Caleb Maldari,100.05
18,100 Breast,Travis Gulledge,51.56
18,200 Breast,Oscar Bilbao,112.31
18,100 Fly,Dalton Lowe,45.30
18,200 Fly,Michal Chmielewski,101.18
18,200 IM,Cale Martter,102.93
18,400 IM,Munzy Kabbara,221.61
18,1650 Free,Josh Parent,888.46
19,50 Free,Sam Bork,19.06
